Time,Input,Intermediate,Output
5.136399999999999e-05,-0.14583334,0.7708333,-0.625
5.1365999999999996e-05,-0.14583334,0.7708333,-0.625
5.1368e-05,-0.14583334,0.7916666,-0.625
5.1370000000000005e-05,-0.14583334,0.7916666,-0.6458333
5.1371999999999995e-05,-0.14583334,0.7916666,-0.625
5.1374e-05,-0.16666667,0.7708333,-0.625
5.1376000000000004e-05,-0.14583334,0.7916666,-0.625
5.1377999999999995e-05,-0.12500001,0.7916666,-0.625
5.138e-05,-0.14583334,0.7916666,-0.625
5.1382000000000004e-05,-0.14583334,0.7916666,-0.625
5.1383999999999995e-05,-0.14583334,0.7916666,-0.625
5.1386e-05,-0.12500001,0.7916666,-0.625
5.1388e-05,-0.14583334,0.7916666,-0.6458333
5.1389999999999994e-05,-0.14583334,0.7916666,-0.6458333
5.1392e-05,-0.14583334,0.7916666,-0.625
5.1394e-05,-0.14583334,0.7916666,-0.6458333
5.1395999999999994e-05,-0.14583334,0.7916666,-0.6458333
5.1398e-05,-0.14583334,0.7708333,-0.6458333
5.14e-05,-0.12500001,0.7916666,-0.625
5.140199999999999e-05,-0.14583334,0.7708333,-0.625
5.1404e-05,-0.14583334,0.7708333,-0.6458333
5.1406e-05,-0.14583334,0.7708333,-0.625
5.140799999999999e-05,-0.14583334,0.7916666,-0.6458333
5.141e-05,-0.14583334,0.7916666,-0.625
5.1412e-05,-0.14583334,0.7916666,-0.625
5.141399999999999e-05,-0.14583334,0.7708333,-0.625
5.1416e-05,-0.14583334,0.7708333,-0.625
5.1418e-05,-0.14583334,0.7708333,-0.625
5.141999999999999e-05,-0.14583334,0.7708333,-0.6458333
5.1421999999999997e-05,-0.14583334,0.7708333,-0.625
5.1424e-05,-0.14583334,0.7708333,-0.625
5.142599999999999e-05,-0.14583334,0.7916666,-0.625
5.1427999999999996e-05,-0.14583334,0.7916666,-0.625
5.143e-05,-0.14583334,0.7708333,-0.625
5.143199999999999e-05,-0.14583334,0.7708333,-0.625
5.1433999999999996e-05,-0.14583334,0.7708333,-0.625
5.1436e-05,-0.14583334,0.7708333,-0.6458333
5.1438000000000005e-05,-0.16666667,0.7708333,-0.625
5.1439999999999995e-05,-0.14583334,0.7708333,-0.625
5.1442e-05,-0.14583334,0.7916666,-0.625
5.1444000000000004e-05,-0.14583334,0.7916666,-0.6458333
5.1445999999999995e-05,-0.14583334,0.7708333,-0.625
5.1448e-05,-0.14583334,0.7916666,-0.625
5.1450000000000004e-05,-0.14583334,0.7916666,-0.6458333
5.1451999999999995e-05,-0.16666667,0.7708333,-0.6458333
5.1454e-05,-0.14583334,0.7708333,-0.6458333
5.1456e-05,-0.14583334,0.7708333,-0.625
5.1457999999999994e-05,-0.12500001,0.7916666,-0.625
5.146e-05,-0.14583334,0.7916666,-0.6458333
5.1462e-05,-0.14583334,0.7708333,-0.625
5.1463999999999994e-05,-0.14583334,0.7916666,-0.625
5.1466e-05,-0.14583334,0.7708333,-0.6458333
5.1468e-05,-0.14583334,0.7708333,-0.6458333
5.1469999999999993e-05,-0.14583334,0.7708333,-0.625
5.1472e-05,-0.14583334,0.7708333,-0.625
5.1474e-05,-0.14583334,0.7916666,-0.625
5.147599999999999e-05,-0.14583334,0.7916666,-0.6458333
5.1478e-05,-0.14583334,0.7708333,-0.625
5.148e-05,-0.14583334,0.7708333,-0.6458333
5.148199999999999e-05,-0.14583334,0.7708333,-0.625
5.1484e-05,-0.14583334,0.7916666,-0.6041666
5.1486e-05,-0.14583334,0.7708333,-0.6041666
5.148799999999999e-05,-0.12500001,0.7708333,-0.625
5.1489999999999997e-05,-0.14583334,0.7916666,-0.625
5.1492e-05,-0.12500001,0.7916666,-0.6041666
5.149399999999999e-05,-0.14583334,0.7708333,-0.625
5.1495999999999996e-05,-0.12500001,0.7708333,-0.625
5.1498e-05,-0.14583334,0.7708333,-0.625
5.149999999999999e-05,-0.14583334,0.7916666,-0.6458333
5.1501999999999996e-05,-0.14583334,0.7708333,-0.625
5.1504e-05,-0.14583334,0.7708333,-0.625
5.1506000000000005e-05,-0.12500001,0.7708333,-0.625
5.1507999999999995e-05,-0.14583334,0.7916666,-0.625
5.151e-05,-0.16666667,0.7708333,-0.625
5.1512000000000004e-05,-0.12500001,0.7708333,-0.625
5.1513999999999995e-05,-0.14583334,0.7916666,-0.6458333
5.1516e-05,-0.14583334,0.81249994,-0.6458333
5.1518000000000004e-05,-0.14583334,0.7708333,-0.6041666
5.1519999999999995e-05,-0.14583334,0.7916666,-0.6458333
5.1522e-05,-0.14583334,0.7708333,-0.6458333
5.1524000000000003e-05,-0.14583334,0.7916666,-0.625
5.1525999999999994e-05,-0.14583334,0.7708333,-0.625
5.1528e-05,-0.14583334,0.7708333,-0.625
5.153e-05,-0.12500001,0.7916666,-0.6458333
5.1531999999999994e-05,-0.14583334,0.7916666,-0.6458333
5.1534e-05,-0.14583334,0.7708333,-0.625
5.1536e-05,-0.14583334,0.7916666,-0.6458333
5.1537999999999993e-05,-0.14583334,0.7708333,-0.625
5.154e-05,-0.12500001,0.7916666,-0.625
5.1542e-05,-0.12500001,0.7708333,-0.625
5.154399999999999e-05,-0.14583334,0.7708333,-0.625
5.1546e-05,-0.12500001,0.7916666,-0.625
5.1548e-05,-0.14583334,0.7916666,-0.625
5.154999999999999e-05,-0.14583334,0.7708333,-0.625
5.1552e-05,-0.14583334,0.7916666,-0.625
5.1554e-05,-0.12500001,0.7916666,-0.625
5.155599999999999e-05,-0.14583334,0.7916666,-0.625
5.1558e-05,-0.14583334,0.7708333,-0.625
5.156e-05,-0.14583334,0.7916666,-0.6041666
5.156199999999999e-05,-0.12500001,0.7916666,-0.625
5.1563999999999996e-05,-0.14583334,0.7916666,-0.6458333
5.1566e-05,-0.14583334,0.7916666,-0.6041666
5.156799999999999e-05,-0.14583334,0.7916666,-0.625
5.1569999999999996e-05,-0.14583334,0.7916666,-0.625
5.1572e-05,-0.14583334,0.7916666,-0.625
5.1574000000000005e-05,-0.14583334,0.7708333,-0.6041666
5.1575999999999995e-05,-0.14583334,0.7916666,-0.625
5.1578e-05,-0.14583334,0.7916666,-0.625
5.1580000000000004e-05,-0.14583334,0.7916666,-0.6458333
5.1581999999999995e-05,-0.14583334,0.7708333,-0.6041666
5.1584e-05,-0.14583334,0.7708333,-0.625
5.1586000000000004e-05,-0.14583334,0.7708333,-0.625
5.1587999999999995e-05,-0.14583334,0.7916666,-0.625
5.159e-05,-0.14583334,0.7708333,-0.625
5.1592000000000003e-05,-0.12500001,0.7916666,-0.625
5.1593999999999994e-05,-0.14583334,0.7916666,-0.625
5.1596e-05,-0.14583334,0.7916666,-0.6458333
5.1598e-05,-0.14583334,0.7916666,-0.625
5.1599999999999994e-05,-0.14583334,0.7708333,-0.625
5.1602e-05,-0.12500001,0.7916666,-0.625
5.1604e-05,-0.14583334,0.7708333,-0.6458333
5.1605999999999993e-05,-0.14583334,0.7708333,-0.625
5.1608e-05,-0.14583334,0.7708333,-0.625
5.161e-05,-0.14583334,0.7916666,-0.6458333
5.161199999999999e-05,-0.14583334,0.7916666,-0.6458333
5.1614e-05,-0.14583334,0.7708333,-0.625
5.1616e-05,-0.14583334,0.7916666,-0.625
5.161799999999999e-05,-0.14583334,0.7708333,-0.625
5.162e-05,-0.14583334,0.7916666,-0.6458333
5.1622e-05,-0.14583334,0.7708333,-0.625
5.162399999999999e-05,-0.14583334,0.7916666,-0.625
5.1626e-05,-0.12500001,0.7708333,-0.625
5.1628e-05,-0.14583334,0.7916666,-0.625
5.162999999999999e-05,-0.14583334,0.7708333,-0.6041666
5.1631999999999996e-05,-0.14583334,0.7708333,-0.625
5.1634e-05,-0.14583334,0.7708333,-0.625
5.163599999999999e-05,-0.14583334,0.7916666,-0.625
5.1637999999999996e-05,-0.14583334,0.7708333,-0.625
5.164e-05,-0.14583334,0.7708333,-0.625
5.1642000000000005e-05,-0.14583334,0.7708333,-0.625
5.1643999999999995e-05,-0.14583334,0.7916666,-0.625
5.1646e-05,-0.14583334,0.7708333,-0.6041666
5.1648000000000004e-05,-0.14583334,0.7916666,-0.625
5.1649999999999995e-05,-0.12500001,0.7916666,-0.625
5.1652e-05,-0.14583334,0.7916666,-0.625
5.1654000000000004e-05,-0.12500001,0.7708333,-0.625
5.1655999999999995e-05,-0.12500001,0.7916666,-0.625
5.1658e-05,-0.12500001,0.7708333,-0.6458333
5.1660000000000003e-05,-0.14583334,0.7916666,-0.6458333
5.1661999999999994e-05,-0.14583334,0.7708333,-0.625
5.1664e-05,-0.14583334,0.7916666,-0.625
5.1666e-05,-0.14583334,0.7708333,-0.625
5.1667999999999994e-05,-0.12500001,0.7916666,-0.625
5.167e-05,-0.14583334,0.7916666,-0.625
5.1672e-05,-0.14583334,0.7708333,-0.6458333
5.1673999999999993e-05,-0.14583334,0.7916666,-0.625
5.1676e-05,-0.14583334,0.7916666,-0.6458333
5.1678e-05,-0.16666667,0.7708333,-0.625
5.167999999999999e-05,-0.14583334,0.7708333,-0.625
5.1682e-05,-0.12500001,0.7916666,-0.625
5.1684e-05,-0.14583334,0.7916666,-0.6458333
5.168599999999999e-05,-0.14583334,0.7708333,-0.625
5.1688e-05,-0.12500001,0.7916666,-0.625
5.169e-05,-0.14583334,0.7916666,-0.625
5.169199999999999e-05,-0.14583334,0.7916666,-0.625
5.1694e-05,-0.12500001,0.7708333,-0.625
5.1696e-05,-0.14583334,0.7708333,-0.625
