Time,Input,Output
7.94E-07,0.020833334,-0.020833334
7.96E-07,0,0
7.98E-07,0,0
8.00E-07,0,0
8.02E-07,0,-0.020833334
8.04E-07,0,0
8.06E-07,0,-0.020833334
8.08E-07,0,-0.020833334
8.10E-07,0,-0.020833334
8.12E-07,0,-0.020833334
8.14E-07,0,-0.020833334
8.16E-07,0,0
8.18E-07,0,-0.020833334
8.20E-07,0,0
8.22E-07,0,-0.020833334
8.24E-07,0,0
8.26E-07,0,-0.020833334
8.28E-07,0,0
8.30E-07,0,-0.020833334
8.32E-07,0,0
8.34E-07,0.020833334,-0.020833334
8.36E-07,0.020833334,0
8.38E-07,0,-0.020833334
8.40E-07,0,0
8.42E-07,0,0
8.44E-07,-0.020833334,0
8.46E-07,0,-0.020833334
8.48E-07,0.020833334,0
8.50E-07,0,-0.020833334
8.52E-07,0,0
8.54E-07,0,0
8.56E-07,0,0
8.58E-07,0,-0.020833334
8.60E-07,0,-0.020833334
8.62E-07,0,-0.020833334
8.64E-07,0.020833334,0
8.66E-07,0.020833334,0
8.68E-07,0,0
8.70E-07,0,0
8.72E-07,0,0
8.74E-07,0.020833334,-0.020833334
8.76E-07,0,0
8.78E-07,-0.020833334,-0.020833334
8.80E-07,0,-0.020833334
8.82E-07,0.020833334,-0.041666668
8.84E-07,0.020833334,-0.020833334
8.86E-07,0,-0.020833334
8.88E-07,0,-0.020833334
8.90E-07,0.020833334,-0.020833334
8.92E-07,0,0
8.94E-07,0,-0.041666668
8.96E-07,0.020833334,-0.020833334
8.98E-07,0,-0.020833334
9.00E-07,0,0
9.02E-07,0,0
9.04E-07,0,0
9.06E-07,0,-0.041666668
9.08E-07,0,0
9.10E-07,0,-0.020833334
9.12E-07,0,0
9.14E-07,0,-0.020833334
9.16E-07,0,-0.020833334
9.18E-07,0,-0.020833334
9.20E-07,0.020833334,0
9.22E-07,0.020833334,-0.020833334
9.24E-07,0,0
9.26E-07,0,-0.020833334
9.28E-07,0,-0.020833334
9.30E-07,0.020833334,-0.020833334
9.32E-07,-0.020833334,0
9.34E-07,0.020833334,-0.020833334
9.36E-07,0,0
9.38E-07,0.020833334,0
9.40E-07,-0.020833334,0
9.42E-07,0,-0.020833334
9.44E-07,0,-0.020833334
9.46E-07,0,-0.020833334
9.48E-07,0,0
9.50E-07,0,-0.020833334
9.52E-07,0,0
9.54E-07,0,-0.020833334
9.56E-07,0,0
9.58E-07,0,-0.020833334
9.60E-07,0,-0.020833334
9.62E-07,0,-0.020833334
9.64E-07,0,0
9.66E-07,0,-0.020833334
9.68E-07,0.020833334,0
9.70E-07,0,-0.020833334
9.72E-07,-0.020833334,0
9.74E-07,0,-0.020833334
9.76E-07,0,-0.020833334
9.78E-07,0,-0.020833334
9.80E-07,0,0
9.82E-07,0,-0.020833334
9.84E-07,0,-0.020833334
9.86E-07,0,0
9.88E-07,0,0
9.90E-07,0,-0.020833334
9.92E-07,0,0.020833334
9.94E-07,0,-0.020833334
9.96E-07,0,-0.020833334
9.98E-07,0,-0.020833334
1.00E-06,0,0
